SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,Attendance,Study_Hours,Extracurricular,Backlogs,CGPA,Predicted_CGPA
6.872700594236813,8.490808570098725,5.925664644193098,7.59540892568109,63.0852841867953,8.447670298956726,0,4,7.221145683552432,7.221145683552433
9.75357153204958,7.680481831720602,7.709504736891791,7.395909388148655,62.3489399536,7.880750151892458,0,0,8.134866872202657,8.13486687220266
8.659969709057025,6.547638081431639,9.364729179382042,5.1282103290321785,95.31272902605184,6.16176056310016,0,4,7.425136824725721,7.425136824725722
7.993292420985183,9.068975098534745,8.661124432047806,6.7062391381307815,62.477309992475305,9.604424292507398,1,4,8.10740777242463,8.10740777242463
5.780093202212183,8.423655862769397,9.03280573930725,6.900978093929285,63.59748630643155,2.804270639755625,0,4,7.534383224554529,7.534383224554531
5.779972601681013,5.813084696724457,8.293916833553586,6.994113904484502,87.96991312089818,1.9833778927865928,1,1,6.720272009110889,6.720272009110889
5.290418060840997,9.554635922469211,8.461382822589263,7.900861846136662,72.486992122527,8.6856577025988,1,0,7.801824663009034,7.801824663009034
9.330880728874677,9.112686214615843,9.245978257826597,7.668012733634392,88.83552784775907,4.952348349703735,0,4,8.839389483737877,8.839389483737877
8.005575058716044,9.74899956645962,6.248340044295929,8.039525463967223,53.26830787821926,8.622719687863544,0,4,8.010610033359704,8.010610033359706
8.540362888980226,8.6285975419418,7.447124818215702,8.824416307710642,74.37855968366921,9.037811846758734,1,1,8.360125389212094,8.360125389212094
5.102922471479012,8.06707597967895,6.106047209098011,9.064928693580468,51.680680009164135,1.562118342571643,1,0,7.085243588459111,7.085243588459111
9.849549260809972,7.091215181453094,9.938340039983236,8.590615381132473,53.13266017276773,8.951182866874547,0,2,8.867429965844693,8.867429965844696
9.162213204002107,9.663642416770069,9.720296698433067,9.777618479774674,95.32187266722056,5.0348714983248,0,1,9.58094269974498,9.580942699744979
6.061695553391381,9.330319447502042,5.197134056842529,5.091162913381808,56.96226855587976,5.59389240103809,0,0,6.42007799277944,6.420077992779442
5.909124836035503,5.226093350530947,8.527875862578442,5.978889928417731,76.62103411376086,6.639332599838892,1,4,6.410495994390656,6.410495994390657
5.917022549267169,5.13183487248626,9.62624158707833,5.037814374890711,70.55478013003533,9.33744346057078,1,0,6.428228345930617,6.428228345930619
